OBJECTID;PAR_ID;PAR_NUM;Shape_Length;Shape_Area;geometry;OWNER;Freguesia;Municipio;Ilha
11;17607847.0;2,98622E+12;163.02830777164647;907.0567667929143;MULTIPOLYGON (((298598.2429999998 3621571.0775000006, 298599.9718000004 3621568.5, 298600.1853 3621568.0934999995, 298600.23429999966 3621568.109099999, 298600.51999999955 3621568.1999999993, 298601.1412000004 3621567.0265999995, 298601.6326000001 3621566.0985000003, 298605.9199999999 3621558, 298608.9199999999 3621539.4000000004, 298608.6607999997 3621535.058700001, 298608.1200000001 3621526, 298607.78809999954 3621514.2162999995, 298607.71999999974 3621511.8000000007, 298608.5378999999 3621501.9848999996, 298604.7098000003 3621500.5493, 298604.7039999999 3621500.3751, 298604.7028000001 3621500.3391999993, 298604.0982999997 3621500.2248, 298599.80090000015 3621499.411800001, 298599.4483000003 3621501.7940999996, 298595.8021 3621526.8505000006, 298593.9930999996 3621536.630000001, 298591.3967000004 3621550.6664000005, 298591.37229999993 3621550.7983999997, 298591.4299999997 3621550.9189999998, 298591.4567999998 3621550.9749, 298591.4106999999 3621550.9667000007, 298590.4199999999 3621554.880000001, 298586.1699999999 3621561.33, 298584.7814999996 3621563.036699999, 298598.2429999998 3621571.0775000006)));26;Arco da Calheta;Calheta;Ilha da Madeira (Madeira)
12;19330684.0;2,98621E+12;125.29894320568577;580.4977129100115;MULTIPOLYGON (((298414.8261000002 3622146.569599999, 298421.49540000036 3622150.2552000005, 298425.8953 3622145.0551999994, 298434.4952999996 3622149.2552000005, 298444.09520000033 3622132.2553000003, 298456.49509999994 3622135.2552000005, 298458.6377999997 3622130.2555, 298459.5263 3622128.1822999995, 298459.5151000004 3622128.1786, 298450.67650000006 3622125.2324, 298450.6200000001 3622125.2200000007, 298447.6200000001 3622125.119999999, 298448.44990000036 3622124.0825999994, 298447.49509999994 3622123.8553, 298435.4951999998 3622120.8554, 298413.8953999998 3622146.0551999994, 298414.8261000002 3622146.569599999)));84;Arco da Calheta;Calheta;Ilha da Madeira (Madeira)
13;20433555.0;2,99622E+12;70.76005383656569;166.39322146786995;MULTIPOLYGON (((299111.8013000004 3622095.285700001, 299111.6500000004 3622095.41, 299112.2030999996 3622096.055299999, 299112.07919999957 3622096.1582999993, 299116.6500000004 3622101.1099999994, 299121.8361999998 3622096.0023999996, 299121.8499999996 3622096.01, 299123.02550000045 3622095.1016000006, 299123.98610000033 3622094.3594000004, 299122.4500000002 3622091.91, 299127.6500000004 3622087.710000001, 299130.6341000004 3622091.092, 299134.95050000027 3622087.3641999997, 299134.72559999954 3622087.1548999995, 299134.9500000002 3622087.1099999994, 299130.3646999998 3622080.5186, 299130.1500000004 3622080.210000001, 299129.9737999998 3622080.354800001, 299129.75 3622080.3100000005, 299124.4500000002 3622084.1099999994, 299124.0871000001 3622084.4246999994, 299111.6500000004 3622095.210000001, 299111.8013000004 3622095.285700001)));87;Arco da Calheta;Calheta;Ilha da Madeira (Madeira)
14;20433561.0;2,99622E+12;45.34495668105491;117.60322003324094;MULTIPOLYGON (((299098.81740000006 3622080.8025, 299106.3964999998 3622075.0480000004, 299106.5499999998 3622075.01, 299109.75 3622072.8100000005, 299106.3499999996 3622067.41, 299097.3499999996 3622070.6099999994, 299092.25 3622073.01, 299092.9001000002 3622073.7192, 299092.9500000002 3622073.710000001, 299098.81740000006 3622080.8025)));40;Arco da Calheta;Calheta;Ilha da Madeira (Madeira)
15;20746817.0;2,97621E+12;45.99013260047487;77.94686062009467;MULTIPOLYGON (((297586.4343999997 3621564.392000001, 297586.9848999996 3621561.339299999, 297587.1743999999 3621560.2885999996, 297587.3499999996 3621560.26, 297588.1074000001 3621557.3145000003, 297578.3499999996 3621551.460000001, 297573.82380000036 3621549.7534, 297572.95249999966 3621549.424900001, 297573.9500000002 3621552.5600000005, 297581.1500000004 3621557.960000001, 297581.5499999998 3621560.960000001, 297581.4797 3621560.9661, 297583.14159999974 3621562.4713000003, 297583.1500000004 3621562.460000001, 297583.6841000002 3621562.7742, 297585.8513000002 3621564.0490000006, 297586.4343999997 3621564.392000001)));20;Arco da Calheta;Calheta;Ilha da Madeira (Madeira)
16;20746818.0;2,97622E+12;77.38560252506595;347.829668448073;MULTIPOLYGON (((297586.4343999997 3621564.392000001, 297588.03670000006 3621565.3345999997, 297588.06269999966 3621565.3160999995, 297588.1034000004 3621565.3737000003, 297588.25600000005 3621565.59, 297591.9480999997 3621570.8203999996, 297595.10170000046 3621575.780200001, 297597.71719999984 3621580.1851000004, 297607.1448999997 3621579.3827, 297607.30370000005 3621579.3692000005, 297608.25 3621578.960000001, 297609.25 3621561.26, 297605.25 3621560.5600000005, 297605.1676000003 3621560.6731000002, 297605.1500000004 3621560.5600000005, 297602.75 3621560.3599999994, 297598.0499999998 3621560.66, 297594.9500000002 3621559.5600000005, 297588.37200000044 3621557.5667000003, 297588.3499999996 3621557.460000001, 297588.1074000001 3621557.3145000003, 297587.3499999996 3621560.26, 297587.1743999999 3621560.2885999996, 297586.9848999996 3621561.339299999, 297586.4343999997 3621564.392000001)));31;Arco da Calheta;Calheta;Ilha da Madeira (Madeira)
17;21848168.0;2,99621E+12;119.35969998072251;857.2336360622152;MULTIPOLYGON (((298677.8903000001 3621660.7751, 298678.0086000003 3621660.859099999, 298699.51779999956 3621644.6021999996, 298699.5164999999 3621644.6008, 298699.51999999955 3621644.5999999996, 298703.70999999996 3621641.5199999996, 298704.4024 3621640.9836, 298704.4199999999 3621640.9700000007, 298704.4223999996 3621640.9681, 298697.83330000006 3621635.6681999993, 298692.4625000004 3621631.348099999, 298681.0378999999 3621622.2084999997, 298680.45270000026 3621622.9221, 298679.98000000045 3621622.51, 298677.55900000036 3621625.8342000004, 298673.5418999996 3621631.3499, 298660.7496999996 3621648.9142000005, 298660.6799999997 3621649.01, 298661.5999999996 3621649.7300000004, 298675.9550999999 3621660.964400001, 298676.78000000026 3621661.6099999994, 298677.8903000001 3621660.7751)));85;Arco da Calheta;Calheta;Ilha da Madeira (Madeira)
18;7351920.0;2,9962E+12;262.0587443127587;2499.5450668916333;MULTIPOLYGON (((299019.13320000004 3621205.5095000006, 299035.93939999957 3621234.9200999998, 299035.0574000003 3621235.1161, 299035.2494000001 3621235.370100001, 299035.61870000046 3621235.2469999995, 299048.44159999955 3621267.9911, 299070.2391999997 3621255.7299000006, 299070.4819 3621255.9476999994, 299070.34920000006 3621255.469900001, 299088.1826999998 3621239.6828000005, 299088.13910000026 3621239.5299999993, 299090.05900000036 3621237.6099999994, 299095.5789999999 3621236.17, 299086.69909999985 3621235.1099999994, 299081.2991000004 3621237.1099999994, 299076.9950000001 3621214.7042999994, 299076.1791000003 3621214.780200001, 299057.57919999957 3621222.280200001, 299053.97919999994 3621219.280200001, 299052.47919999994 3621209.680299999, 299054.4601999996 3621194.964400001, 299045.4792999998 3621197.430400001, 299044.7056999998 3621195.1788, 299042.87930000015 3621196.180400001, 299032.9792999998 3621196.7804000005, 299016.7795000002 3621201.8804, 299016.7189999996 3621203.7536999993, 299019.13320000004 3621205.5095000006)));44;Arco da Calheta;Calheta;Ilha da Madeira (Madeira)
19;7349461.0;2,98621E+12;114.51277830647635;662.0254951549899;MULTIPOLYGON (((297793.6309000002 3622329.2584000006, 297793.53000000026 3622329.3499999996, 297793.1299999999 3622330.5, 297827.9299999997 3622348.5999999996, 297827.9252000004 3622348.5899, 297827.9315999998 3622348.5933999997, 297829.9299999997 3622338.6500000004, 297831.05709999986 3622332.5244999994, 297797.0998999998 3622311.8653999995, 297797.0756999999 3622311.937999999, 297796.9790000003 3622312.2281, 297797.01999999955 3622312.24, 297794.6200000001 3622325.34, 297793.6392000001 3622329.2631, 297793.6309000002 3622329.2584000006)));2;Arco da Calheta;Calheta;Ilha da Madeira (Madeira)
20;7351800.0;2,9962E+12;268.0625993007366;2989.849988023656;MULTIPOLYGON (((298813.0312999999 3621277.375600001, 298804.29000000004 3621279.74, 298804.2829 3621279.7772000004, 298781.2611999996 3621285.680299999, 298781.2430999996 3621285.649, 298781.0999999996 3621285.8100000005, 298781.6327999998 3621288.5503000002, 298781.5730999997 3621288.5654000007, 298781.51960000023 3621288.5788000003, 298785.1500000004 3621299.039999999, 298786.28560000006 3621306.8981, 298794.4000000004 3621305.09, 298799.26329999976 3621304.2058000006, 298799.3119999999 3621304.4372000005, 298800.2999999998 3621309.130000001, 298803.69409999996 3621308.7688999996, 298804.18149999995 3621310.407400001, 298804.11110000033 3621310.4601000007, 298804.87239999976 3621313.251599999, 298805.29849999957 3621314.8138999995, 298805.3298000004 3621314.803099999, 298805.5404000003 3621315.6339, 298821.7000000002 3621310.7300000004, 298837.74810000043 3621303.7567, 298837.7472000001 3621303.6294, 298838.4661999997 3621303.3816, 298851.5 3621293.3100000005, 298866.7000000002 3621284.3100000005, 298883.5832000002 3621277.854699999, 298879.8624999998 3621255.0233999994, 298879.9000000004 3621254.710000001, 298878.65419999976 3621252.1227, 298870.54760000017 3621255.3540000003, 298835.8607999999 3621269.180299999, 298813.0312999999 3621277.375600001)));65;Arco da Calheta;Calheta;Ilha da Madeira (Madeira)
